Task ID,Occupation (O*NET-SOC Title),Task,User ID,Date,Self-reported Expertise,Automation Desire Rating,Time,Core Skill Rating,Job Security Rating,Enjoyment Rating,Reasons for Automation Desire - Free Time,Reasons for Automation Desire - Repetitive,Reasons for Automation Desire - Human Error,Reasons for Automation Desire - Stress,Reasons for Automation Desire - Difficulty,Reasons for Automation Desire - Scale,Physical Action Requirement,Interpersonal Communication Requirement,Involved Uncertainty,Domain Expertise Requirement,Human Agency Scale Rating,Reasons for Human Agency - Physical,Reasons for Human Agency - Control,Reasons for Human Agency - Domain Knowledge,Reasons for Human Agency - Empathy,Reasons for Human Agency - Quality Oversight,Reasons for Human Agency - Dynamic,Reasons for Human Agency - Ethical
16252,Biostatisticians,Prepare tables and graphs to present clinical data or results.,e53e3180-32f4-44e3-90d8-a3beecfb3d2f,23/03/2025,Average,5,3,3,5,3,False,True,False,False,False,False,1,1,1,1,1,False,False,False,False,False,False,False
16246,Biostatisticians,Calculate sample size requirements for clinical studies.,d992cfb8-5df6-4622-af68-bc14563cc282,02/04/2025,Average,5,3,3,5,2,False,True,False,True,False,False,4,2,2,2,3,False,True,True,True,False,False,False
16252,Biostatisticians,Prepare tables and graphs to present clinical data or results.,d992cfb8-5df6-4622-af68-bc14563cc282,02/04/2025,Average,3,2,3,2,3,True,True,True,False,False,False,3,3,2,3,3,True,True,True,False,False,False,False
16249,Biostatisticians,Write program code to analyze data with statistical analysis software.,d992cfb8-5df6-4622-af68-bc14563cc282,02/04/2025,Novice,1,1,1,1,1,False,False,False,False,False,False,2,2,2,2,1,False,False,False,False,False,False,False
16252,Biostatisticians,Prepare tables and graphs to present clinical data or results.,8bec2add-8f70-4f8c-9ba8-ad616293921f,16/04/2025,Average,4,3,4,4,3,True,False,True,True,True,True,3,3,4,4,3,False,False,False,False,False,False,False
16265,Biostatisticians,"Analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques.",8bec2add-8f70-4f8c-9ba8-ad616293921f,16/04/2025,Average,3,3,3,3,3,True,False,True,True,True,True,3,4,3,3,3,False,False,False,False,False,False,False
16249,Biostatisticians,Write program code to analyze data with statistical analysis software.,8bec2add-8f70-4f8c-9ba8-ad616293921f,16/04/2025,Average,4,4,3,3,3,True,False,True,True,True,True,3,4,3,4,3,False,False,False,False,False,False,False
16265,Biostatisticians,"Analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques.",8d3035db-0408-418e-9f2b-6bb523219f90,16/04/2025,Average,3,3,1,2,4,False,True,False,False,False,False,3,3,2,3,3,False,False,False,False,False,False,False
16246,Biostatisticians,Calculate sample size requirements for clinical studies.,8d3035db-0408-418e-9f2b-6bb523219f90,16/04/2025,Expert,4,4,2,4,4,False,False,False,False,False,True,4,3,4,4,4,False,False,False,False,False,False,False
16262,Biostatisticians,Review clinical or other medical research protocols and recommend appropriate statistical analyses.,8d3035db-0408-418e-9f2b-6bb523219f90,16/04/2025,Expert,3,4,3,4,3,False,False,False,False,False,True,4,4,2,4,4,False,False,False,False,False,False,False
