Task ID,Occupation (O*NET-SOC Title),Task,User ID,Date,Automation Capacity Rating,Physical Action Requirement,Involved Uncertainty,Domain Expertise Requirement,Interpersonal Communication Requirement,Human Agency Scale Rating
8961,Statisticians,"Design research projects that apply valid scientific techniques, and use information obtained from baselines or historical data to structure uncompromised and efficient analyses.",OrangeWolf,24/03/2025,1,1,3,3,4,4
16246,Biostatisticians,Calculate sample size requirements for clinical studies.,OrangeWolf,24/03/2025,3,1,1,1,1,2
16265,Biostatisticians,"Analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques.",PurpleBear,24/03/2025,4,1,4,4,2,3
16246,Biostatisticians,Calculate sample size requirements for clinical studies.,PurpleBear,24/03/2025,4,1,3,4,1,1
16252,Biostatisticians,Prepare tables and graphs to present clinical data or results.,PurpleBear,24/03/2025,4,1,3,4,2,4
16249,Biostatisticians,Write program code to analyze data with statistical analysis software.,PurpleBear,24/03/2025,4,1,3,4,2,4
16150,Business Intelligence Analysts,"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders.",PurpleBear,24/03/2025,3,1,3,3,4,4
16140,Business Intelligence Analysts,Manage timely flow of business intelligence information to users.,PurpleBear,24/03/2025,2,1,3,3,4,4
16146,Business Intelligence Analysts,"Collect business intelligence data from available industry reports, public information, field reports, or purchased sources.",PurpleBear,24/03/2025,2,1,2,3,3,4
16136,Business Intelligence Analysts,"Identify or monitor current and potential customers, using business intelligence tools.",PurpleBear,24/03/2025,3,1,3,3,2,3
16143,Business Intelligence Analysts,"Disseminate information regarding tools, reports, or metadata enhancements.",PurpleBear,24/03/2025,3,1,3,3,4,3
16284,Clinical Data Managers,"Process clinical data, including receipt, entry, verification, or filing of information.",PurpleBear,24/03/2025,3,2,4,3,2,2
16280,Clinical Data Managers,"Generate data queries, based on validation checks or errors and omissions identified during data entry, to resolve identified problems.",PurpleBear,24/03/2025,3,1,4,4,2,4
16279,Clinical Data Managers,Monitor work productivity or quality to ensure compliance with standard operating procedures.,PurpleBear,24/03/2025,2,2,3,2,4,2
16277,Clinical Data Managers,"Prepare data analysis listings and activity, performance, or progress reports.",PurpleBear,24/03/2025,3,1,4,4,2,4
16283,Clinical Data Managers,Analyze clinical data using appropriate statistical tools.,PurpleBear,24/03/2025,3,1,4,4,2,4
16270,Clinical Data Managers,Develop technical specifications for data management programming and communicate needs to information technology staff.,PurpleBear,24/03/2025,2,1,3,3,4,4
16274,Clinical Data Managers,"Track the flow of work forms, including in-house data flow or electronic forms transfer.",PurpleBear,24/03/2025,2,2,3,3,2,2
14633,Computer and Information Research Scientists,Design computers and the software that runs them.,YellowZebra,05/04/2025,3,1,2,4,2,2
21049,Computer Programmers,Develop Web sites.,YellowZebra,05/04/2025,4,1,2,3,2,2
16151,Information Technology Project Managers,Perform risk assessments to develop response strategies.,YellowZebra,05/04/2025,2,1,3,4,4,4
5317,Information Security Analysts,"Modify computer security files to incorporate new software, correct errors, or change individual access status.",YellowZebra,05/04/2025,4,1,3,4,1,2
1305,Database Administrators,Specify users and user access levels for each segment of database.,YellowZebra,05/04/2025,4,1,2,3,2,2
14654,Software Quality Assurance Analysts and Testers,Monitor program performance to ensure efficient and problem-free operations.,YellowZebra,05/04/2025,4,1,2,2,1,2
14681,Computer Systems Engineers/Architects,"Define and analyze objectives, scope, issues, or organizational impact of information systems.",YellowZebra,05/04/2025,4,1,2,2,1,2
7371,Mathematicians,Develop mathematical or statistical models of phenomena to be used for analysis or for computational simulation.,YellowZebra,05/04/2025,2,1,1,4,1,4
16208,Video Game Designers,"Devise missions, challenges, or puzzles to be encountered in game play.",YellowZebra,05/04/2025,3,1,1,3,2,3
19004,Computer Network Support Specialists,Back up network data.,GreenElephant,06/04/2025,4,2,2,2,2,2
14743,Web Administrators,"Install or configure Web server software or hardware to ensure that directory structure is well-defined, logical, and secure, and that files are named properly.",YellowZebra,05/04/2025,5,1,1,1,1,1
1282,Computer User Support Specialists,Answer user inquiries regarding computer software or hardware operation to resolve problems.,YellowZebra,05/04/2025,5,1,1,3,2,1
1322,Network and Computer Systems Administrators,"Design, configure, and test computer hardware, networking software and operating system software.",YellowZebra,05/04/2025,4,1,1,4,1,2
1270,Computer Programmers,"Write, update, and maintain computer programs or software packages to handle specific jobs such as tracking inventory, storing or retrieving data, or controlling other equipment.",YellowZebra,05/04/2025,5,1,1,4,1,1
1320,Network and Computer Systems Administrators,Operate master consoles to monitor the performance of computer systems and networks and to coordinate computer network access and use.,YellowZebra,05/04/2025,5,1,1,2,1,1
8953,Statisticians,"Report results of statistical analyses, including information in the form of graphs, charts, and tables.",YellowZebra,05/04/2025,4,1,1,3,1,2
14623,Computer and Information Research Scientists,Analyze problems to develop solutions involving computer hardware and software.,YellowZebra,05/04/2025,2,1,2,4,2,3
14640,Software Quality Assurance Analysts and Testers,"Develop testing programs that address areas such as database impacts, software scenarios, regression testing, negative testing, error or bug retests, or usability.",YellowZebra,05/04/2025,3,1,1,3,1,2
1325,Network and Computer Systems Administrators,Monitor network performance to determine whether adjustments are needed and where changes will be needed in the future.,YellowZebra,05/04/2025,3,1,2,3,1,2
14695,Web Developers,Perform or direct Web site updates.,YellowZebra,05/04/2025,4,1,2,3,2,2
14649,Software Quality Assurance Analysts and Testers,"Develop or specify standards, methods, or procedures to determine product quality or release readiness.",YellowZebra,05/04/2025,2,1,1,4,3,4
1276,Computer Programmers,"Prepare detailed workflow charts and diagrams that describe input, output, and logical operation, and convert them into a series of instructions coded in a computer language.",YellowZebra,05/04/2025,5,1,1,2,1,1
16194,Video Game Designers,"Review or evaluate competitive products, film, music, television, and other art forms to generate new game design ideas.",YellowZebra,05/04/2025,2,1,1,4,3,5
14667,Computer Systems Engineers/Architects,"Provide advice on project costs, design concepts, or design changes.",YellowZebra,05/04/2025,2,1,2,4,3,5
14639,Software Quality Assurance Analysts and Testers,Test system modifications to prepare for implementation.,YellowZebra,05/04/2025,4,1,1,3,2,2
1329,Network and Computer Systems Administrators,Analyze equipment performance records to determine the need for repair or replacement.,YellowZebra,05/04/2025,4,1,1,3,2,2
14633,Computer and Information Research Scientists,Design computers and the software that runs them.,GreenElephant,05/04/2025,2,3,4,4,4,4
21049,Computer Programmers,Develop Web sites.,GreenElephant,05/04/2025,4,2,3,3,3,3
16151,Information Technology Project Managers,Perform risk assessments to develop response strategies.,GreenElephant,05/04/2025,2,3,4,4,4,4
5317,Information Security Analysts,"Modify computer security files to incorporate new software, correct errors, or change individual access status.",GreenElephant,05/04/2025,3,3,4,4,3,4
1305,Database Administrators,Specify users and user access levels for each segment of database.,GreenElephant,05/04/2025,4,2,2,3,2,3
14654,Software Quality Assurance Analysts and Testers,Monitor program performance to ensure efficient and problem-free operations.,GreenElephant,05/04/2025,3,3,3,3,3,4
14681,Computer Systems Engineers/Architects,"Define and analyze objectives, scope, issues, or organizational impact of information systems.",GreenElephant,05/04/2025,2,3,4,4,4,4
7371,Mathematicians,Develop mathematical or statistical models of phenomena to be used for analysis or for computational simulation.,GreenElephant,05/04/2025,3,2,2,3,2,4
16208,Video Game Designers,"Devise missions, challenges, or puzzles to be encountered in game play.",GreenElephant,05/04/2025,3,4,3,4,2,4
14743,Web Administrators,"Install or configure Web server software or hardware to ensure that directory structure is well-defined, logical, and secure, and that files are named properly.",GreenElephant,05/04/2025,4,2,2,3,2,3
1282,Computer User Support Specialists,Answer user inquiries regarding computer software or hardware operation to resolve problems.,GreenElephant,05/04/2025,4,2,2,3,3,2
1322,Network and Computer Systems Administrators,"Design, configure, and test computer hardware, networking software and operating system software.",GreenElephant,05/04/2025,3,2,3,4,2,4
1270,Computer Programmers,"Write, update, and maintain computer programs or software packages to handle specific jobs such as tracking inventory, storing or retrieving data, or controlling other equipment.",GreenElephant,05/04/2025,4,2,3,3,2,3
1320,Network and Computer Systems Administrators,Operate master consoles to monitor the performance of computer systems and networks and to coordinate computer network access and use.,GreenElephant,05/04/2025,4,2,2,3,2,2
8953,Statisticians,"Report results of statistical analyses, including information in the form of graphs, charts, and tables.",GreenElephant,05/04/2025,4,2,2,3,2,2
14694,Web Developers,"Design, build, or maintain Web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",YellowZebra,05/04/2025,4,1,1,2,2,2
14750,Web Administrators,"Test issues such as system integration, performance, and system security on a regular schedule or after any major program modifications.",YellowZebra,05/04/2025,5,1,1,2,1,1
16199,Video Game Designers,Balance and adjust gameplay experiences to ensure the critical and commercial success of the product.,YellowZebra,05/04/2025,2,1,3,3,3,4
1275,Computer Programmers,"Investigate whether networks, workstations, the central processing unit of the system, or peripheral equipment are responding to a program's instructions.",YellowZebra,05/04/2025,5,1,1,2,1,1
14673,Computer Systems Engineers/Architects,"Identify system data, hardware, or software components required to meet user needs.",YellowZebra,05/04/2025,3,1,2,3,3,3
3478,Computer Systems Analysts,"Review and analyze computer printouts and performance indicators to locate code problems, and correct errors by correcting codes.",YellowZebra,05/04/2025,5,1,1,2,2,1
16201,Video Game Designers,"Solicit, obtain, and integrate feedback from design and technical staff into original game design.",YellowZebra,05/04/2025,3,1,1,3,4,3
19010,Computer Network Support Specialists,Provide telephone support related to networking or connectivity issues.,YellowZebra,05/04/2025,3,1,1,2,5,3
19004,Computer Network Support Specialists,Back up network data.,YellowZebra,05/04/2025,5,1,1,1,1,1
3480,Computer Systems Analysts,"Read manuals, periodicals, and technical reports to learn how to develop programs that meet staff and user requirements.",YellowZebra,05/04/2025,5,1,1,2,1,1
1321,Network and Computer Systems Administrators,"Perform routine network startup and shutdown procedures, and maintain control records.",YellowZebra,05/04/2025,5,1,1,1,1,1
14722,Web Developers,"Provide clear, detailed descriptions of Web site specifications, such as product features, activities, software, communication protocols, programming languages, and operating systems software and hardware.",YellowZebra,05/04/2025,5,1,1,1,1,1
1269,Computer Programmers,"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.",YellowZebra,05/04/2025,5,1,1,2,1,1
3474,Computer Systems Analysts,"Analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling, and information engineering.",YellowZebra,05/04/2025,3,1,3,3,3,3
1314,Database Administrators,"Review workflow charts developed by programmer analyst to understand tasks computer will perform, such as updating records.",YellowZebra,05/04/2025,3,1,1,2,3,2
16171,Information Technology Project Managers,Develop and manage work breakdown structure (WBS) of information technology projects.,YellowZebra,05/04/2025,2,1,4,4,4,4
14734,Web Administrators,"Monitor systems for intrusions or denial of service attacks, and report security breaches to appropriate personnel.",YellowZebra,05/04/2025,4,1,1,3,2,2
14648,Software Quality Assurance Analysts and Testers,Document test procedures to ensure replicability and compliance with standards.,YellowZebra,05/04/2025,5,1,1,1,1,1
16159,Information Technology Project Managers,"Initiate, review, or approve modifications to project plans.",YellowZebra,05/04/2025,3,1,4,4,4,3
7373,Mathematicians,"Address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",YellowZebra,05/04/2025,3,1,2,4,1,3
1287,Computer User Support Specialists,"Maintain records of daily data communication transactions, problems and remedial actions taken, or installation activities.",YellowZebra,05/04/2025,5,1,1,1,1,1
1285,Computer User Support Specialists,Oversee the daily performance of computer systems.,YellowZebra,05/04/2025,5,1,1,2,1,1
14624,Computer and Information Research Scientists,Assign or schedule tasks to meet work priorities and goals.,YellowZebra,05/04/2025,3,1,3,3,3,3
1273,Computer Programmers,"Write, analyze, review, and rewrite programs, using workflow chart and diagram, and applying knowledge of computer capabilities, subject matter, and symbolic logic.",YellowZebra,05/04/2025,4,1,1,3,2,2
14723,Web Developers,Monitor security system performance logs to identify problems and notify security specialists when problems occur.,YellowZebra,05/04/2025,4,1,2,2,2,2
14733,Web Administrators,"Review or update Web page content or links in a timely manner, using appropriate tools.",YellowZebra,05/04/2025,5,1,1,2,1,1
1288,Computer User Support Specialists,"Read technical manuals, confer with users, or conduct computer diagnostics to investigate and resolve problems or to provide technical assistance and support.",YellowZebra,05/04/2025,4,1,2,3,2,2
18991,Computer Network Support Specialists,Configure security settings or access permissions for groups or individuals.,YellowZebra,05/04/2025,5,1,1,2,2,1
8956,Statisticians,Analyze and interpret statistical data to identify significant differences in relationships among sources of information.,YellowZebra,05/04/2025,3,1,2,3,1,3
14707,Web Developers,Write supporting code for Web applications or Web sites.,YellowZebra,05/04/2025,5,1,1,2,1,1
19003,Computer Network Support Specialists,Analyze and report computer network security breaches or attempted breaches.,YellowZebra,05/04/2025,4,1,1,3,1,2
1277,Computer Programmers,Perform systems analysis and programming tasks to maintain and control the use of computer systems software as a systems programmer.,YellowZebra,05/04/2025,4,1,1,2,1,2
14698,Web Developers,Back up files from Web sites to local directories for instant recovery in case of problems.,YellowZebra,05/04/2025,5,1,1,2,1,1
14740,Web Administrators,"Implement updates, upgrades, and patches in a timely manner to limit loss of service.",YellowZebra,05/04/2025,5,1,1,2,1,1
7368,Mathematicians,Develop computational methods for solving problems that occur in areas of science and engineering or that come from applications in business or industry.,YellowZebra,05/04/2025,2,1,4,4,4,5
18989,Computer Network Support Specialists,"Analyze network data to determine network usage, disk space availability, or server function.",YellowZebra,05/04/2025,5,1,1,2,1,1
14644,Software Quality Assurance Analysts and Testers,Create or maintain databases of known test defects.,YellowZebra,05/04/2025,5,1,1,2,1,1
16217,Video Game Designers,"Create core game features, including storylines, role-play mechanics, and character biographies for a new video game or game franchise.",YellowZebra,05/04/2025,2,1,4,4,4,5
14642,Software Quality Assurance Analysts and Testers,"Identify, analyze, and document problems with program function, output, online screen, or content.",YellowZebra,05/04/2025,4,1,1,2,2,2
14645,Software Quality Assurance Analysts and Testers,Plan test schedules or strategies in accordance with project scope or delivery dates.,YellowZebra,05/04/2025,4,1,2,3,3,2
