User ID,Occupation (O*NET-SOC Title),Gender,Race,Income,Age,Education,Experience,AI Tedious Work Attitude,AI Job Importance Attitude,AI Daily Interest Attitude,AI Suffering Attitude,Political Affiliation,LLM Familiarity,LLM Use in Work,LLM Usage by Type - Information Access,LLM Usage by Type - Edit,LLM Usage by Type - Idea Generation,LLM Usage by Type - Communication,LLM Usage by Type - Analysis,LLM Usage by Type - Decision,LLM Usage by Type - Coding,LLM Usage by Type - System Design,LLM Usage by Type - Data Processing,Recruitment Source
f5ebd9c8-d0f3-4e08-8027-5680268d073d,Computer Network Support Specialists,Male,White,86K-165K,39,Bachelor’s Degree,6-10 years,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Monthly,Daily,Daily,Daily,Weekly,Weekly,Weekly,Prolific
231576cd-4cc2-4dee-91cb-6bb0105d06db,Information Technology Project Managers,Male,White,60-86K,25,Bachelor’s Degree,3-5 years,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Never,Weekly,Never,Weekly,Never,Never,Monthly,Never,Weekly,Prolific
1ea438f6-b348-41ef-a3b7-0d3ea26da742,Computer Systems Engineers/Architects,Male,White,209K-529K,52,"Some College, No Degree",More than 10 years,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Independent,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Prolific
2e027f5b-019e-4215-ae3c-180cf6c576ff,Information Technology Project Managers,Male,Black,86K-165K,26,Master’s Degree,6-10 years,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Republican,I have heard of them but don't know much about their functionalities.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Prolific
7f35d4fc-0ca5-43db-afdf-939a1d921f8f,Computer Programmers,Male,Black,86K-165K,18,"Some College, No Degree",1-2 year,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Republican,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Never,Never,Never,Never,Never,Never,Never,Never,Never,Prolific
a6afe946-8c94-4aaf-95b3-5491db630053,Computer User Support Specialists,Male,White,30-60K,39,"Some College, No Degree",3-5 years,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Monthly,Monthly,Weekly,Weekly,Weekly,Never,Monthly,Never,Weekly,Prolific
b64ed918-a8ae-4a8c-b3a0-725f48f81e74,Software Quality Assurance Analysts and Testers,Male,White,30-60K,28,Bachelor’s Degree,1-2 year,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Independent,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Daily,Daily,Weekly,Monthly,Never,Daily,Prolific
50cb1d2f-60bc-48cb-a880-9e29684a5c32,Software Quality Assurance Analysts and Testers,Female,White,0-30K,29,Bachelor’s Degree,3-5 years,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Daily,Daily,Daily,Monthly,Weekly,Daily,Prolific
56ef8be5-e12e-4c6b-9cfa-f9fb6ed6c5aa,Mathematicians,Male,Asian American and Pacific Islander,30-60K,24,Master’s Degree,1-2 year,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Democrat,I have some experience using them.,"No, I have not used them for any work-related activities.",Không sử dụng,Không sử dụng,Không sử dụng,Không sử dụng,Không sử dụng,Không sử dụng,Không sử dụng,Không sử dụng,Không sử dụng,WoM
aadd6029-49eb-4da0-8b1b-2afc14cb3879,Mathematicians,Female,Asian American and Pacific Islander,86K-165K,25,Master’s Degree,3-5 years,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,No political affliation,I use them regularly.,"Yes, I use them every week in my work.",Never,Never,Monthly,Never,Never,Never,Monthly,Never,Never,WoM
b19df847-1096-4014-9e18-422682758655,Statisticians,Male,Asian American and Pacific Islander,30-60K,29,"Doctorate (e.g., PhD)",3-5 years,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Prefer not to answer,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Weekly,Monthly,Weekly,Monthly,Weekly,Weekly,Weekly,Daily,WoM
b2efd415-bcf4-4465-8ff5-34e2dd167f01,Information Technology Project Managers,Male,Black,0-30K,32,Bachelor’s Degree,3-5 years,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,No political affliation,I use them regularly.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Daily,Weekly,Daily,Daily,Daily,Daily,Weekly,WoM
76d19606-a69d-428a-8dbb-62791cee39cc,Database Administrators,Male,Black,86K-165K,35,Bachelor’s Degree,3-5 years,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Democrat,I have heard of them but don't know much about their functionalities.,"No, I have not used them for any work-related activities.",Không sử dụng,Không sử dụng,Không sử dụng,Không sử dụng,Không sử dụng,Không sử dụng,Không sử dụng,Không sử dụng,Không sử dụng,WoM
7660da08-540e-40ed-bf2a-39755e915e7a,Mathematicians,Male,Black,60-86K,31,Master’s Degree,6-10 years,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,No political affliation,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Daily,Daily,Weekly,Weekly,Weekly,Daily,WoM
cfd98150-ef49-41ca-b15e-04ba3bd1314c,Information Security Analysts,Male,Black,30-60K,32,Bachelor’s Degree,3-5 years,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Republican,I use them regularly.,"Yes, I use them every week in my work.",Daily,Daily,Daily,Daily,Daily,Daily,Weekly,Weekly,Never,WoM
13d8a05d-c6b5-4695-9d33-e2ce740b8ce9,Video Game Designers,Male,Asian American and Pacific Islander,0-30K,36,Bachelor’s Degree,3-5 years,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Libertarian,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Never,Monthly,Never,Monthly,Never,Never,Never,Never,Never,Upwork
a13e7337-cf96-4acb-a2be-fb48fda68ef7,Computer Network Support Specialists,Male,Black,86K-165K,39,Master’s Degree,6-10 years,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,No political affliation,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Upwork
f8f40921-e140-4926-b10d-ac51e750bf44,Statisticians,Male,Other,0-30K,25,Bachelor’s Degree,1-2 year,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Prefer not to answer,I use them regularly.,"Yes, I use them every day in my work.",Monthly,Monthly,Monthly,Daily,Daily,Never,Daily,Never,Never,WoM
54d26d7b-d476-42b8-94f8-17590c2fc0d9,Web Developers,Male,Asian American and Pacific Islander,86K-165K,35,Bachelor’s Degree,3-5 years,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Weekly,Daily,Daily,Daily,Weekly,Daily,Upwork
cfbbcb0f-6f7e-4854-b021-1209a010a93f,Web Developers,Male,White,165K-209K,18,Bachelor’s Degree,3-5 years,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Weekly,Weekly,Daily,Never,Monthly,Monthly,Daily,Weekly,Never,Prolific
fb25680c-4564-41fe-bb02-142d6b3cf30c,Web Developers,Male,White,0-30K,18,"Some College, No Degree",1-2 year,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Republican,I use them regularly.,"Yes, I use them every day in my work.",Weekly,Daily,Monthly,Weekly,Weekly,Weekly,Weekly,Never,Daily,Prolific
1f91aba2-1758-4885-b585-22ee2611fc39,Web Developers,Male,Black,86K-165K,30,Master’s Degree,3-5 years,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Republican,I use them regularly.,"Yes, I use them every day in my work.",Daily,Monthly,Daily,Weekly,Daily,Daily,Daily,Daily,Daily,Prolific
19cb3bb9-6e61-4c6e-837e-7b054845cbc1,Web Developers,Male,Hispanic,0-30K,23,"Some College, No Degree",1-2 year,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Republican,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Prolific
103ce55b-3a04-449f-8ed8-7f9214f15e1c,Web Developers,Male,White,30-60K,18,Master’s Degree,More than 10 years,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Republican,I use them regularly.,"Yes, I use them every day in my work.",Weekly,Weekly,Daily,Daily,Weekly,Monthly,Daily,Monthly,Weekly,Prolific
1030547f-2dcc-4c91-b0e3-96cd98204abc,Web Developers,Female,White,30-60K,40,Bachelor’s Degree,3-5 years,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Democrat,I use them regularly.,"Yes, I have used them occasionally for specific tasks.",Daily,Weekly,Daily,Monthly,Daily,Monthly,Weekly,Daily,Weekly,Prolific
f5550885-59e9-40ae-8ea9-5fddb6988dad,Information Security Analysts,Female,Black,30-60K,52,"Some College, No Degree",More than 10 years,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Democrat,I use them regularly.,"No, I have not used them for any work-related activities.",Không sử dụng,Không sử dụng,Không sử dụng,Không sử dụng,Không sử dụng,Không sử dụng,Không sử dụng,Không sử dụng,Không sử dụng,Prolific
