O*NET-SOC Code,Occupation (O*NET-SOC Title),Task ID,Task,Task Type,Date,Category,Frequency,Importance,Relevance,Occupation Mean Annual Wage,Occupation Employment,Skill (O*NET Work Activity),Skill ID (O*NET Generalized Work Activity ID)
11-2011.00,Advertising and Promotions Managers,3226,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.",Core,Aug-18,3,3,4.07,87.26,149270,21100,['Evaluating Information to Determine Compliance with Standards'],['4.A.2.a.3']
11-2011.00,Advertising and Promotions Managers,3242,Coordinate with the media to disseminate advertising.,Core,Aug-18,3,3,3.87,80.19,149270,21100,"['Communicating with Supervisors, Peers, or Subordinates']",['4.A.4.a.2']
11-2011.00,Advertising and Promotions Managers,3223,Prepare budgets and submit estimates for program costs as part of campaign plan development.,Core,Aug-18,3,3,3.67,81.73,149270,21100,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-2011.00,Advertising and Promotions Managers,3243,Contact organizations to explain services and facilities offered.,Core,Aug-18,5,5,3.61,79.02,149270,21100,['Selling or Influencing Others'],['4.A.4.a.6']
11-2011.00,Advertising and Promotions Managers,3233,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,Core,Aug-18,3,3,3.59,77.04,149270,21100,['Analyzing Data or Information'],['4.A.2.a.4']
11-2011.00,Advertising and Promotions Managers,3234,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",Core,Aug-18,3,3,3.25,86.55,149270,21100,['Updating and Using Relevant Knowledge'],['4.A.2.b.3']
11-2021.00,Marketing Managers,951,"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",Core,Jul-15,5,5,4.3,98.32,171520,384980,"['Judging the Qualities of Objects, Services, or People', 'Thinking Creatively']","['4.A.2.a.1', '4.A.2.b.2']"
11-2021.00,Marketing Managers,957,Compile lists describing product or service offerings.,Core,Jul-15,3,3,3.7,84.1,171520,384980,['Processing Information'],['4.A.2.a.2']
11-3012.00,Administrative Services Managers,21,Prepare and review operational reports and schedules to ensure accuracy and efficiency.,Core,Jul-17,5,5,3.71,77.98,126030,254140,['Documenting/Recording Information'],['4.A.3.b.6']
11-3012.00,Administrative Services Managers,20,Set goals and deadlines for the department.,Core,Jul-17,5,5,3.7,92.79,126030,254140,['Thinking Creatively'],['4.A.2.b.2']
11-3012.00,Administrative Services Managers,24,"Plan, administer, and control budgets for contracts, equipment, and supplies.",Supplemental,Jul-17,5,5,4.06,66.15,126030,254140,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-3021.00,Computer and Information Systems Managers,978,Review project plans to plan and coordinate project activity.,Core,Jul-16,3,3,4.08,99.97,187990,645970,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-3021.00,Computer and Information Systems Managers,969,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",Core,Jul-16,5,5,4.04,92.97,187990,645970,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1']
11-3021.00,Computer and Information Systems Managers,971,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",Core,Jul-16,3,3,3.94,81.61,187990,645970,['Thinking Creatively'],['4.A.2.b.2']
11-3021.00,Computer and Information Systems Managers,970,Stay abreast of advances in technology.,Core,Jul-16,4,4,3.88,100,187990,645970,['Updating and Using Relevant Knowledge'],['4.A.2.b.3']
11-3021.00,Computer and Information Systems Managers,972,Review and approve all systems charts and programs prior to their implementation.,Core,Jul-16,3,3,3.68,87.19,187990,645970,"['Getting Information', 'Judging the Qualities of Objects, Services, or People']","['4.A.1.a.1', '4.A.2.a.1']"
11-3021.00,Computer and Information Systems Managers,980,Prepare and review operational reports or project progress reports.,Core,Jul-16,5,5,3.63,95.71,187990,645970,['Documenting/Recording Information'],['4.A.3.b.6']
11-3021.00,Computer and Information Systems Managers,979,Evaluate data processing proposals to assess project feasibility and requirements.,Core,Jul-16,3,3,3.59,70.83,187990,645970,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1']
11-3021.00,Computer and Information Systems Managers,974,Control operational budget and expenditures.,Core,Jul-16,3,3,3.53,84.33,187990,645970,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-3021.00,Computer and Information Systems Managers,966,"Manage backup, security and user help systems.",Supplemental,Jul-16,5,5,4.19,65.58,187990,645970,['Thinking Creatively'],['4.A.2.b.2']
11-3031.00,Financial Managers,21319,Oversee the flow of cash or financial instruments.,Core,Aug-22,5,5,4.2,72.26,180470,818620,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2']
11-3031.00,Financial Managers,21315,Evaluate data pertaining to costs to plan budgets.,Core,Aug-22,3,3,3.61,70.1,180470,818620,['Analyzing Data or Information'],['4.A.2.a.4']
11-3031.00,Financial Managers,21321,Develop or analyze information to assess the current or future financial status of firms.,Supplemental,Aug-22,5,5,4.14,43.38,180470,818620,['Analyzing Data or Information'],['4.A.2.a.4']
11-3031.00,Financial Managers,21318,"Approve, reject, or coordinate the approval or rejection of lines of credit or commercial, real estate, or personal loans.",Supplemental,Aug-22,5,5,4.09,47.62,180470,818620,"['Making Decisions and Solving Problems', 'Guiding, Directing, and Motivating Subordinates']","['4.A.2.b.1', '4.A.4.b.4']"
11-3031.00,Financial Managers,21320,"Prepare financial or regulatory reports required by laws, regulations, or boards of directors.",Supplemental,Aug-22,3,3,4.04,51.99,180470,818620,['Documenting/Recording Information'],['4.A.3.b.6']
11-3031.00,Financial Managers,21317,"Examine, evaluate, or process loan applications.",Supplemental,Aug-22,5,5,3.98,44.6,180470,818620,['Analyzing Data or Information'],['4.A.2.a.4']
11-3031.00,Financial Managers,21314,Prepare operational or risk reports for management analysis.,Supplemental,Aug-22,3,3,3.65,43.32,180470,818620,['Documenting/Recording Information'],['4.A.3.b.6']
11-3031.00,Financial Managers,21326,Review collection reports to determine the status of collections and the amounts of outstanding balances.,Supplemental,Aug-22,5,5,3.61,45.61,180470,818620,['Analyzing Data or Information'],['4.A.2.a.4']
11-3031.00,Financial Managers,21329,Review reports of securities transactions or price lists to analyze market conditions.,Supplemental,Aug-22,3,3,3.18,25.66,180470,818620,['Analyzing Data or Information'],['4.A.2.a.4']
11-3031.01,Treasurers and Controllers,8870,Evaluate needs for procurement of funds and investment of surpluses and make appropriate recommendations.,Core,Aug-20,5,5,4.52,96,,,"['Making Decisions and Solving Problems', 'Providing Consultation and Advice to Others']","['4.A.2.b.1', '4.A.4.b.6']"
11-3031.01,Treasurers and Controllers,20168,"Monitor financial activities and details, such as cash flow and reserve levels, to ensure that all legal and regulatory requirements are met.",Core,Aug-20,5,5,4.4,100,,,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2']
11-3031.01,Treasurers and Controllers,8861,"Receive, record, and authorize requests for disbursements in accordance with company policies and procedures.",Core,Aug-20,5,5,4.33,96,,,['Making Decisions and Solving Problems'],['4.A.2.b.1']
11-3031.01,Treasurers and Controllers,8865,"Coordinate and direct the financial planning, budgeting, procurement, or investment activities of all or part of an organization.",Core,Aug-20,3,3,4.22,92,,,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-3031.01,Treasurers and Controllers,8867,"Analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed.",Core,Aug-20,3,3,4.08,96,,,['Analyzing Data or Information'],['4.A.2.a.4']
11-3031.01,Treasurers and Controllers,8873,"Compute, withhold, and account for all payroll deductions.",Supplemental,Aug-20,3,3,4,28,,,"['Estimating the Quantifiable Characteristics of Products, Events, or Information']",['4.A.1.b.3']
11-3031.03,Investment Fund Managers,15679,Select specific investments or investment mixes for purchase by an investment fund.,Core,Jul-14,5,5,4.61,86.1,,,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-3031.03,Investment Fund Managers,15669,Monitor financial or operational performance of individual investments to ensure portfolios meet risk goals.,Core,Jul-14,5,5,4.56,98.06,,,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2']
11-3031.03,Investment Fund Managers,15676,Select or direct the execution of trades.,Core,Jul-14,5,5,4.48,74.46,,,"['Making Decisions and Solving Problems', 'Guiding, Directing, and Motivating Subordinates']","['4.A.2.b.1', '4.A.4.b.4']"
11-3031.03,Investment Fund Managers,15667,"Perform or evaluate research, such as detailed company or industry analyses, to inform financial forecasting, decision making, or valuation.",Core,Jul-14,5,5,4.38,89.62,,,['Analyzing Data or Information'],['4.A.2.a.4']
11-3031.03,Investment Fund Managers,15668,"Present investment information, such as product risks, fees, or fund performance statistics.",Core,Jul-14,3,3,4.23,92.21,,,['Providing Consultation and Advice to Others'],['4.A.4.b.6']
11-3031.03,Investment Fund Managers,15664,"Develop, implement, or monitor security valuation policies.",Core,Jul-14,5,5,4.22,88.32,,,"['Monitoring Processes, Materials, or Surroundings', 'Making Decisions and Solving Problems', 'Developing Objectives and Strategies']","['4.A.1.a.2', '4.A.2.b.1', '4.A.2.b.4']"
11-3031.03,Investment Fund Managers,15670,Monitor regulatory or tax law changes to ensure fund compliance or to capitalize on development opportunities.,Core,Jul-14,3,3,3.72,70.97,,,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2']
